0�~?�4�!�{�OzI{��8V��Year,Month,Day,Day of Week,Hour,Minute,Second,TEMPERATURE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETOMETER_X,MAGNETOMETER_Y,MAGNETOMETER_Z
2022,1,11,Tuesday,21,8,47,27.52,-0.11,0.06,9.9,0.01,0.01,0.01,-2.25,-5.85,37.8
2022,1,11,Tuesday,21,8,48,27.71,-0.12,0.05,9.88,0.02,0.01,0.01,-2.25,-4.35,36.75
2022,1,11,Tuesday,21,8,49,27.95,-0.13,0.08,9.87,0.01,0.02,0.01,-2.85,-4.95,38.4
2022,1,11,Tuesday,21,8,50,27.71,-0.19,0.07,9.82,0.01,0.02,0.01,-3.3,-5.4,37.8
2022,1,11,Tuesday,21,8,51,27.9,-0.12,0.03,9.85,0.01,0.02,0.01,-3.6,-5.25,38.4
2022,1,11,Tuesday,21,8,52,27.61,-0.08,0.01,9.81,0.02,0.01,0.01,-3,-5.4,37.8
2022,1,11,Tuesday,21,8,53,27.85,-0.15,0.01,9.89,0.02,0.01,0.01,-2.1,-4.5,37.65
2022,1,11,Tuesday,21,8,54,27.95,-0.11,0.03,9.87,-0.01,0.01,0.01,-2.1,-5.7,38.4
2022,1,11,Tuesday,21,8,55,27.76,-0.15,0.06,9.84,0.01,0.02,0.01,-2.25,-6.3,36.3
2022,1,11,Tuesday,21,8,56,27.57,-0.13,0.07,9.81,0.01,0.01,0.01,-2.85,-5.7,39.45
2022,1,11,Tuesday,21,8,57,27.9,-0.11,0.05,9.84,0.02,0.01,0,-1.65,-6,37.65
2022,1,11,Tuesday,21,8,58,27.76,-0.13,0.11,9.89,0.02,0.01,0.01,-1.2,-5.25,38.7
2022,1,11,Tuesday,21,8,59,27.85,-0.11,0.05,9.84,0.01,0.01,0,-3.9,-4.5,37.65
2022,1,11,Tuesday,21,9,0,28.04,-0.1,0.09,9.82,0.01,0.02,0.01,-2.1,-4.95,38.4
2022,1,11,Tuesday,21,9,1,27.61,-0.16,0.06,9.89,0.01,0.01,0.01,-2.4,-4.05,38.7
2022,1,11,Tuesday,21,10,35,27.76,-0.05,0.06,9.85,0.01,0.02,0.01,-2.40,-3.75,38.40
2022,1,11,Tuesday,21,10,36,27.76,-0.13,0.04,9.86,0.01,0.01,0.00,-2.55,-5.40,39.00
2022,1,11,Tuesday,21,10,37,27.71,-0.14,0.01,9.86,0.02,0.01,0.00,-3.60,-5.70,38.40
2022,1,11,Tuesday,21,10,38,28.04,-0.13,0.03,9.90,0.02,0.02,0.01,-2.10,-5.25,38.40
2022,1,11,Tuesday,21,10,39,28.09,-0.12,0.06,9.84,0.01,0.02,0.01,-2.40,-5.70,37.95
2022,1,11,Tuesday,21,10,40,27.61,-0.16,0.10,9.84,0.01,0.01,0.01,-2.10,-5.70,38.40
2022,1,11,Tuesday,21,10,41,27.76,-0.14,0.06,9.85,0.01,0.02,0.01,-1.20,-3.75,37.95
2022,1,11,Tuesday,21,10,42,27.95,-0.08,0.05,9.86,0.01,0.01,0.01,-3.15,-4.95,37.95
2022,1,11,Tuesday,21,10,43,27.71,-0.12,0.06,9.89,0.01,0.01,0.01,-2.40,-6.00,39.15
2022,1,11,Tuesday,21,10,44,27.90,-0.17,0.07,9.90,0.01,0.02,0.01,-1.80,-5.40,39.00
2022,1,11,Tuesday,21,10,45,27.52,-0.20,0.05,9.87,0.02,0.01,0.01,-2.85,-6.00,38.40
2022,1,11,Tuesday,21,10,46,27.90,-0.18,0.05,9.86,0.02,0.02,0.01,-1.20,-4.95,38.40
2022,1,11,Tuesday,21,10,47,27.76,-0.14,0.01,9.88,0.01,0.01,0.01,-2.40,-6.00,38.70
2022,1,11,Tuesday,21,10,48,27.90,-0.19,0.08,9.85,0.01,0.01,0.01,-2.40,-6.90,39.15
2022,1,11,Tuesday,21,10,49,27.85,-0.14,0.01,9.81,0.01,0.01,0.01,-2.40,-6.90,38.40
2022,1,11,Tuesday,21,10,50,27.57,-0.14,0.02,9.87,0.01,0.01,0.01,-2.10,-5.25,38.40
2022,1,11,Tuesday,21,10,51,27.85,-0.13,0.07,9.86,0.01,0.01,0.01,-1.80,-5.85,38.25
2022,1,11,Tuesday,21,10,52,27.76,-0.09,0.05,9.90,0.01,0.01,0.01,-2.10,-4.05,38.40
2022,1,11,Tuesday,21,10,53,27.85,-0.20,0.04,9.85,0.01,0.01,0.01,-2.40,-4.05,40.20
2022,1,11,Tuesday,21,10,54,27.85,-0.16,0.05,9.83,0.01,0.01,0.01,-2.55,-6.60,38.55
2022,1,11,Tuesday,21,10,55,27.85,-0.16,0.04,9.85,0.01,0.01,0.01,-1.05,-6.30,37.80
2022,1,11,Tuesday,21,10,56,28.04,-0.16,0.07,9.88,0.02,0.01,0.00,-2.55,-6.30,38.55
2022,1,11,Tuesday,21,10,57,28.04,-0.16,0.05,9.87,0.02,0.01,0.01,-1.65,-5.25,38.70
2022,1,11,Tuesday,21,10,58,27.71,-0.16,0.02,9.85,0.01,0.01,0.01,-2.10,-4.95,38.70
2022,1,11,Tuesday,21,10,59,27.85,-0.17,0.06,9.93,0.01,0.02,0.00,-2.40,-5.25,37.95
2022,1,11,Tuesday,21,11,0,27.90,-0.18,0.01,9.86,0.02,0.01,0.00,-1.80,-5.40,36.75
2022,1,11,Tuesday,21,11,1,27.85,-0.13,0.06,9.87,0.01,0.02,0.01,-3.15,-4.50,38.70
2022,1,11,Tuesday,21,11,2,27.90,-0.20,-0.01,9.88,0.01,0.01,0.01,-3.00,-5.40,39.00
2022,1,11,Tuesday,21,11,3,27.61,-0.16,0.04,9.84,0.01,0.01,0.01,-3.60,-5.70,36.90
